graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_rap_100_9382_3_0.9999_17365423400484667_70;9382;28137;1;0.5875364724421641;0.08155418869647296;0.0816;0.33330964647361877;0.19313701131488709;0.6605434250927856;0.002762486314228454
rand_random_rap_100_9382_3_0.9999_17365423404693806_71;9382;28137;1;0.588198263612498;0.07692003516982467;0.0744;0.32496189552445615;0.19426065161426165;0.657880289877535;0.0029370364931028004
rand_random_rap_100_9382_3_0.9999_17365423409068737_72;9382;28136;1;0.5888260375036825;0.05535978365084172;0.056;0.3845460135273622;0.2214094811691732;0.493465472293662;0.003934456508727472
rand_random_rap_100_9382_3_0.9999_17365423414707098_73;9382;28137;1;0.5934627715776968;0.08588265377283928;0.0839;0.324838117663354;0.18808006225510693;0.6634978111546541;0.0025862536406204306
rand_random_rap_100_9382_3_0.9999_17365423418667014_74;9382;28137;1;0.586504343959085;0.06359916407406943;0.0618;0.35714013781550996;0.20665110307432297;0.4927815142121438;0.003729997428882191
rand_random_rap_100_9382_3_0.9999_1736542342377201_75;9382;28137;1;0.5934994213124687;0.09954476208346177;0.0986;0.313483709273183;0.1882709254461388;0.6495159316598075;0.0026804962800293093
rand_random_rap_100_9382_3_0.9999_17365423427319586_76;9382;28137;1;0.588805773623547;0.08834129344506726;0.0881;0.3275831965638859;0.18929227535504864;0.6658083892332483;0.0028611968612185516
rand_random_rap_100_9382_3_0.9999_17365423431313424_77;9382;28137;1;0.5907907865137619;0.049805938156646294;0.05;0.3945409429280397;0.22366786886315923;0.6669140042790048;0.0034791256590096954
rand_random_rap_100_9382_3_0.9999_1736542343757136_78;9382;28136;1;0.5899528342395227;0.06030175530865821;0.0595;0.39669316644113667;0.217857026950835;0.6744580292713569;0.0032307345974602717
rand_random_rap_100_9382_3_0.9999_17365423448917322_79;9382;28137;1;0.5864084034160498;0.08938957607425381;0.0894;0.3614471757725206;0.20063347831042694;0.6352687581600953;0.0030731041461184937
rand_random_rap_100_9382_3_0.9999_1736542345284754_80;9382;28137;1;0.5907746210759443;0.10408121186750433;0.107;0.33503571428571427;0.18722354794588386;0.6266855637601947;0.0028531016217545474
rand_random_rap_100_9382_3_0.9999_1736542345636225_81;9382;28137;1;0.5907882805503332;0.07275521573750336;0.0744;0.33635711724632483;0.19907881220473272;0.672545665990751;0.002826904063299792
rand_random_rap_100_9382_3_0.9999_17365423460961196_82;9382;28137;1;0.5919413334091316;0.09135423689170782;0.0924;0.3382246899336602;0.19821086239320623;0.6469350516215898;0.0030265605250794506
rand_random_rap_100_9382_3_0.9999_17365423464779136_83;9382;28136;1;0.5921744990934438;0.06154128368969763;0.0642;0.3696945812807882;0.20541581927538652;0.6797703300857101;0.0031306904700301435
rand_random_rap_100_9382_3_0.9999_17365423470007348_84;9382;28136;1;0.5852280222543601;0.07093683753370113;0.0732;0.34630292738750046;0.200999544348979;0.6697221913734064;0.0029268824334167222
rand_random_rap_100_9382_3_0.9999_17365423474717484_85;9382;28137;1;0.5863667771683564;0.06970623988323423;0.0694;0.3749700215844592;0.2098395646075565;0.6424143282159928;0.0033824977676158406
rand_random_rap_100_9382_3_0.9999_1736542347957264_86;9382;28137;1;0.5875754807522982;0.06349069185324727;0.0656;0.3819314388079147;0.2109892156837635;0.6783254813350426;0.0031451272174311804
rand_random_rap_100_9382_3_0.9999_17365423484758236_87;9382;28136;1;0.5905541308924545;0.08014422593620292;0.0819;0.35801244132351256;0.20508692793916197;0.6394650149276833;0.0032312031329128697
rand_random_rap_100_9382_3_0.9999_17365423489103003_88;9382;28137;1;0.5881805519844502;0.0643163661486664;0.0632;0.3632104692581694;0.2068012301045794;0.6623626064105136;0.0031995473602575764
rand_random_rap_100_9382_3_0.9999_17365423494216785_89;9382;28137;1;0.5882527136904027;0.08814762753839855;0.0874;0.3242094349403836;0.19254471738699017;0.6568154948175605;0.0028975290006826183
rand_random_rap_100_9382_3_0.9999_17365423498171186_90;9382;28137;1;0.5929794492142187;0.05562413143406916;0.0515;0.39239553268917055;0.21743657514929254;0.6765665768943749;0.0032907215150759267
rand_random_rap_100_9382_3_0.9999_17365423503999932_91;9382;28136;1;0.5900081541757196;0.07897857142857143;0.0809;0.3583543433417373;0.2026033071883224;0.6693555309615854;0.0029930051791497965
rand_random_rap_100_9382_3_0.9999_17365423508317637_92;9382;28136;1;0.587493230726737;0.08400917312941796;0.0882;0.34521969529697505;0.199066820276603;0.6229699506172939;0.003278840111981925
rand_random_rap_100_9382_3_0.9999_17365423512425833_93;9382;28137;1;0.5908556450432746;0.11176361615413116;0.1142;0.29801766312980493;0.1753541435258259;0.5006063004739306;0.0028884796915205763
rand_random_rap_100_9382_3_0.9999_17365423515768645_94;9382;28137;1;0.5883598087083733;0.06753272754016376;0.0724;0.34142524384917744;0.20556919843153246;0.6510272863182487;0.0031186634773120855
rand_random_rap_100_9382_3_0.9999_17365423520746126_95;9382;28137;1;0.5890284154733035;0.06326096586692338;0.0592;0.3863673805601318;0.21766666145754254;0.6712322399346228;0.003212082274179224
rand_random_rap_100_9382_3_0.9999_17365423525947304_96;9382;28136;1;0.5894913639953271;0.07148155706506774;0.0717;0.33489218906183066;0.19239110934374726;0.6670214019793662;0.002943785746985583
rand_random_rap_100_9382_3_0.9999_17365423530675297_97;9382;28137;1;0.587476809370839;0.08711834152343884;0.0897;0.3416988416988417;0.19247337340099796;0.6469808552677965;0.003073891468086904
rand_random_rap_100_9382_3_0.9999_17365423534751732_98;9382;28136;1;0.5923076108889553;0.09308758342028417;0.0971;0.29257110778443113;0.17589781726047013;0.6502617197921815;0.002548479202420609
rand_random_rap_100_9382_3_0.9999_17365423538564193_99;9382;28137;1;0.587178329966107;0.09859724100702796;0.0971;0.29883409785932724;0.1803958077937533;0.6230739747192566;0.0028527392717108634
